geo_id,year,student_enrollment,female_student_enrollment,male_student_enrollment,num_teachers,st_ratio
ZAF-000000,2022,747,,,24,31.125
ZAF-000001,2022,1068,,,27,39.55555555555556
ZAF-000002,2022,116,,,5,23.2
ZAF-000003,2022,241,,,6,40.166666666666664
ZAF-000004,2022,166,,,14,11.857142857142858
ZAF-000005,2022,96,,,4,24.0
ZAF-000006,2022,827,,,27,30.62962962962963
ZAF-000007,2022,1103,,,32,34.46875
ZAF-000008,2022,103,,,4,25.75
ZAF-000009,2022,52,,,3,17.333333333333332
ZAF-000010,2022,292,,,9,32.44444444444444
ZAF-000011,2022,997,,,34,29.323529411764707
ZAF-000012,2022,1154,,,27,42.74074074074074
ZAF-000013,2022,898,,,27,33.25925925925926
ZAF-000014,2022,1058,,,42,25.19047619047619
ZAF-000015,2022,73,,,3,24.333333333333332
ZAF-000016,2022,1531,,,49,31.244897959183675
ZAF-000017,2022,65,,,2,32.5
ZAF-000018,2022,1073,,,28,38.32142857142857
ZAF-000019,2022,27,,,2,13.5
ZAF-000020,2022,1006,,,29,34.689655172413794
ZAF-000021,2022,1127,,,45,25.044444444444444
ZAF-000022,2022,946,,,28,33.785714285714285
ZAF-000023,2022,1171,,,36,32.52777777777778
ZAF-000024,2022,1051,,,31,33.903225806451616
ZAF-000025,2022,123,,,4,30.75
ZAF-000026,2022,470,,,16,29.375
ZAF-000027,2022,866,,,25,34.64
ZAF-000028,2022,153,,,8,19.125
ZAF-000029,2022,782,,,40,19.55
ZAF-000030,2022,713,,,34,20.970588235294116
ZAF-000031,2022,1049,,,53,19.79245283018868
ZAF-000032,2022,583,,,22,26.5
ZAF-000033,2022,705,,,34,20.735294117647058
ZAF-000034,2022,891,,,40,22.275
ZAF-000035,2022,835,,,40,20.875
ZAF-000036,2022,855,,,28,30.535714285714285
ZAF-000037,2022,1077,,,31,34.74193548387097
ZAF-000038,2022,678,,,18,37.666666666666664
ZAF-000039,2022,1060,,,30,35.333333333333336
ZAF-000040,2022,425,,,14,30.357142857142858
ZAF-000041,2022,605,,,24,25.208333333333332
ZAF-000042,2022,453,,,17,26.647058823529413
ZAF-000043,2022,1025,,,32,32.03125
ZAF-000044,2022,443,,,16,27.6875
ZAF-000045,2022,525,,,18,29.166666666666668
ZAF-000046,2022,201,,,11,18.272727272727273
ZAF-000047,2022,722,,,21,34.38095238095238
ZAF-000048,2022,1440,,,43,33.48837209302326
ZAF-000049,2022,132,,,4,33.0
ZAF-000050,2022,797,,,28,28.464285714285715
ZAF-000051,2022,498,,,18,27.666666666666668
ZAF-000052,2022,1184,,,34,34.8235294117647
ZAF-000053,2022,274,,,11,24.90909090909091
ZAF-000054,2022,1268,,,53,23.92452830188679
ZAF-000055,2022,540,,,17,31.764705882352942
ZAF-000056,2022,608,,,22,27.636363636363637
ZAF-000057,2022,1298,,,39,33.282051282051285
ZAF-000058,2022,1922,,,64,30.03125
ZAF-000059,2022,688,,,20,34.4
ZAF-000060,2022,1290,,,42,30.714285714285715
ZAF-000061,2022,1699,,,57,29.80701754385965
ZAF-000062,2022,1323,,,38,34.81578947368421
ZAF-000063,2022,246,,,12,20.5
ZAF-000064,2022,1080,,,32,33.75
ZAF-000065,2022,1003,,,45,22.288888888888888
ZAF-000066,2022,163,,,10,16.3
ZAF-000067,2022,1517,,,41,37.0
ZAF-000068,2022,719,,,24,29.958333333333332
ZAF-000069,2022,871,,,26,33.5
ZAF-000070,2022,519,,,17,30.529411764705884
ZAF-000071,2022,797,,,23,34.65217391304348
ZAF-000072,2022,1696,,,48,35.333333333333336
ZAF-000073,2022,1539,,,41,37.53658536585366
ZAF-000074,2022,104,,,3,34.666666666666664
ZAF-000075,2022,151,,,10,15.1
ZAF-000076,2022,981,,,32,30.65625
ZAF-000077,2022,161,,,7,23.0
ZAF-000078,2022,842,,,31,27.161290322580644
ZAF-000079,2022,925,,,43,21.511627906976745
ZAF-000080,2022,451,,,19,23.736842105263158
ZAF-000081,2022,705,,,34,20.735294117647058
ZAF-000082,2022,310,,,13,23.846153846153847
ZAF-000083,2022,443,,,13,34.07692307692308
ZAF-000084,2022,494,,,19,26.0
ZAF-000085,2022,763,,,20,38.15
ZAF-000086,2022,1030,,,32,32.1875
ZAF-000087,2022,52,,,6,8.666666666666666
ZAF-000088,2022,1447,,,43,33.651162790697676
ZAF-000089,2022,851,,,36,23.63888888888889
ZAF-000090,2022,67,,,8,8.375
ZAF-000091,2022,62,,,6,10.333333333333334
ZAF-000092,2022,31,,,2,15.5
ZAF-000093,2022,39,,,7,5.571428571428571
ZAF-000094,2022,102,,,8,12.75
ZAF-000095,2022,372,,,14,26.571428571428573
ZAF-000096,2022,49,,,3,16.333333333333332
ZAF-000097,2022,83,,,11,7.545454545454546
ZAF-000098,2022,73,,,7,10.428571428571429
ZAF-000099,2022,54,,,3,18.0
ZAF-000100,2022,1089,,,47,23.170212765957448
ZAF-000101,2022,624,,,33,18.90909090909091
ZAF-000102,2022,371,,,41,9.048780487804878
ZAF-000103,2022,1199,,,58,20.67241379310345
ZAF-000104,2022,1313,,,52,25.25
ZAF-000105,2022,1151,,,38,30.289473684210527
ZAF-000106,2022,1087,,,44,24.704545454545453
ZAF-000107,2022,1025,,,45,22.77777777777778
ZAF-000108,2022,1266,,,35,36.17142857142857
ZAF-000109,2022,612,,,28,21.857142857142858
ZAF-000110,2022,361,,,21,17.19047619047619
ZAF-000111,2022,1154,,,45,25.644444444444446
ZAF-000112,2022,945,,,43,21.976744186046513
ZAF-000113,2022,1304,,,43,30.325581395348838
ZAF-000114,2022,895,,,30,29.833333333333332
ZAF-000115,2022,972,,,27,36.0
ZAF-000116,2022,414,,,27,15.333333333333334
ZAF-000117,2022,1883,,,53,35.528301886792455
ZAF-000118,2022,1363,,,40,34.075
ZAF-000119,2022,120,,,5,24.0
ZAF-000120,2022,1538,,,55,27.963636363636365
ZAF-000121,2022,1266,,,36,35.166666666666664
ZAF-000122,2022,1297,,,39,33.256410256410255
ZAF-000123,2022,1762,,,55,32.03636363636364
ZAF-000124,2022,628,,,21,29.904761904761905
ZAF-000125,2022,1801,,,53,33.9811320754717
ZAF-000126,2022,591,,,19,31.105263157894736
ZAF-000127,2022,798,,,23,34.69565217391305
ZAF-000128,2022,513,,,16,32.0625
ZAF-000129,2022,706,,,20,35.3
ZAF-000130,2022,1465,,,55,26.636363636363637
ZAF-000131,2022,1123,,,28,40.107142857142854
ZAF-000132,2022,528,,,24,22.0
ZAF-000133,2022,1311,,,42,31.214285714285715
ZAF-000134,2022,562,,,20,28.1
ZAF-000135,2022,1093,,,33,33.121212121212125
ZAF-000136,2022,1374,,,48,28.625
ZAF-000137,2022,208,,,4,52.0
ZAF-000138,2022,187,,,16,11.6875
ZAF-000139,2022,837,,,24,34.875
ZAF-000140,2022,459,,,16,28.6875
ZAF-000141,2022,660,,,22,30.0
ZAF-000142,2022,658,,,20,32.9
ZAF-000143,2022,664,,,22,30.181818181818183
ZAF-000144,2022,87,,,4,21.75
ZAF-000145,2022,310,,,8,38.75
ZAF-000146,2022,1376,,,46,29.91304347826087
ZAF-000147,2022,1104,,,38,29.05263157894737
ZAF-000148,2022,595,,,24,24.791666666666668
ZAF-000149,2022,739,,,38,19.44736842105263
ZAF-000150,2022,1335,,,51,26.176470588235293
ZAF-000151,2022,825,,,42,19.642857142857142
ZAF-000152,2022,1163,,,69,16.855072463768117
ZAF-000153,2022,1097,,,44,24.931818181818183
ZAF-000154,2022,784,,,47,16.680851063829788
ZAF-000155,2022,367,,,25,14.68
ZAF-000156,2022,774,,,48,16.125
ZAF-000157,2022,735,,,40,18.375
ZAF-000158,2022,639,,,34,18.794117647058822
ZAF-000159,2022,95,,,13,7.3076923076923075
ZAF-000160,2022,608,,,30,20.266666666666666
ZAF-000161,2022,841,,,39,21.564102564102566
ZAF-000162,2022,1522,,,58,26.24137931034483
ZAF-000163,2022,367,,,18,20.38888888888889
ZAF-000164,2022,1202,,,51,23.568627450980394
ZAF-000165,2022,870,,,34,25.58823529411765
ZAF-000166,2022,1494,,,57,26.210526315789473
ZAF-000167,2022,1207,,,42,28.738095238095237
ZAF-000168,2022,930,,,52,17.884615384615383
ZAF-000169,2022,1078,,,34,31.705882352941178
ZAF-000170,2022,1427,,,41,34.80487804878049
ZAF-000171,2022,1224,,,36,34.0
ZAF-000172,2022,1538,,,43,35.76744186046512
ZAF-000173,2022,1392,,,40,34.8
ZAF-000174,2022,1391,,,46,30.23913043478261
ZAF-000175,2022,1873,,,80,23.4125
ZAF-000176,2022,1338,,,43,31.11627906976744
ZAF-000177,2022,677,,,14,48.357142857142854
ZAF-000178,2022,267,,,8,33.375
ZAF-000179,2022,122,,,4,30.5
ZAF-000180,2022,652,,,30,21.733333333333334
ZAF-000181,2022,88,,,5,17.6
ZAF-000182,2022,1181,,,42,28.11904761904762
ZAF-000183,2022,1367,,,41,33.34146341463415
ZAF-000184,2022,1058,,,32,33.0625
ZAF-000185,2022,864,,,33,26.181818181818183
ZAF-000186,2022,50,,,6,8.333333333333334
ZAF-000187,2022,439,,,15,29.266666666666666
ZAF-000188,2022,68,,,9,7.555555555555555
ZAF-000189,2022,882,,,33,26.727272727272727
ZAF-000190,2022,549,,,16,34.3125
ZAF-000191,2022,1251,,,37,33.810810810810814
ZAF-000192,2022,941,,,27,34.851851851851855
ZAF-000193,2022,1258,,,41,30.682926829268293
ZAF-000194,2022,420,,,16,26.25
ZAF-000195,2022,1599,,,41,39.0
ZAF-000196,2022,905,,,29,31.20689655172414
ZAF-000197,2022,911,,,42,21.69047619047619
ZAF-000198,2022,1006,,,29,34.689655172413794
ZAF-000199,2022,1084,,,28,38.714285714285715
ZAF-000200,2022,1491,,,43,34.674418604651166
ZAF-000201,2022,858,,,34,25.235294117647058
ZAF-000202,2022,1087,,,29,37.48275862068966
ZAF-000203,2022,258,,,14,18.428571428571427
ZAF-000204,2022,896,,,29,30.896551724137932
ZAF-000205,2022,264,,,19,13.894736842105264
ZAF-000206,2022,410,,,23,17.82608695652174
ZAF-000207,2022,148,,,10,14.8
ZAF-000208,2022,81,,,10,8.1
ZAF-000209,2022,94,,,9,10.444444444444445
ZAF-000210,2022,327,,,10,32.7
ZAF-000211,2022,718,,,21,34.19047619047619
ZAF-000212,2022,425,,,14,30.357142857142858
ZAF-000213,2022,385,,,14,27.5
ZAF-000214,2022,309,,,11,28.09090909090909
ZAF-000215,2022,202,,,9,22.444444444444443
ZAF-000216,2022,1483,,,42,35.30952380952381
ZAF-000217,2022,446,,,16,27.875
ZAF-000218,2022,541,,,18,30.055555555555557
ZAF-000219,2022,456,,,13,35.07692307692308
ZAF-000220,2022,1000,,,28,35.714285714285715
