geo_id,year,deped_id,water,internet,electricity,computers,disability_infrastructure,sanitation_facilities,ss_sanitation_facilities,handwashing_facilities
HND-015675,2011,170200010,1,0,1,1,,,,
HND-015684,2011,170200020,1,0,1,0,,,,
HND-015685,2011,170200021,1,0,1,0,,,,
HND-015689,2011,170200026,1,0,1,0,,,,
HND-015687,2011,170200023,1,0,1,0,,,,
HND-015673,2011,170200008,1,0,1,1,,,,
HND-015683,2011,170200019,1,0,1,0,,,,
HND-015720,2011,170300034,1,0,1,0,,,,
HND-015706,2011,170300016,1,0,1,1,,,,
HND-015707,2011,170300017,1,0,1,0,,,,
HND-015722,2011,170300038,1,0,0,0,,,,
HND-015728,2011,170300054,,0,,0,,,,
HND-015704,2011,170300014,1,0,1,1,,,,
HND-015715,2011,170300025,1,0,1,1,,,,
HND-015692,2011,170300001,1,0,1,1,,,,
HND-015712,2011,170300022,1,0,1,0,,,,
HND-015718,2011,170300032,1,0,1,0,,,,
HND-015695,2011,170300004,1,0,1,0,,,,
HND-015729,2011,170300056,,0,,0,,,,
HND-015717,2011,170300030,,0,,0,,,,
HND-015697,2011,170300006,1,0,1,0,,,,
HND-015699,2011,170300008,1,0,1,0,,,,
HND-015726,2011,170300044,,0,,0,,,,
HND-015727,2011,170300045,,0,,0,,,,
HND-015711,2011,170300021,1,0,1,0,,,,
HND-015705,2011,170300015,1,0,1,0,,,,
HND-015721,2011,170300035,1,0,1,0,,,,
HND-015693,2011,170300002,0,0,1,0,,,,
HND-015708,2011,170300018,1,0,1,0,,,,
HND-015725,2011,170300043,,0,,0,,,,
HND-015731,2011,170300068,,0,,0,,,,
HND-015732,2011,170300069,,0,,0,,,,
HND-015698,2011,170300007,1,0,1,0,,,,
HND-015723,2011,170300041,1,0,1,0,,,,
HND-015701,2011,170300010,1,0,1,1,,,,
HND-015714,2011,170300024,1,0,1,0,,,,
HND-015688,2011,170200024,1,0,1,0,,,,
HND-015700,2011,170300009,1,0,1,0,,,,
HND-015702,2011,170300011,0,0,1,0,,,,
HND-015709,2011,170300019,0,0,1,0,,,,
HND-015730,2011,170300058,1,0,1,0,,,,
HND-015694,2011,170300003,1,0,1,0,,,,
HND-015713,2011,170300023,0,0,1,0,,,,
HND-015710,2011,170300020,0,0,1,0,,,,
HND-015696,2011,170300005,1,0,1,0,,,,
HND-015724,2011,170300042,,0,,0,,,,
HND-015537,2011,170100021,1,0,1,0,,,,
HND-015672,2011,170200007,1,0,1,1,,,,
HND-015682,2011,170200018,1,0,0,0,,,,
HND-015676,2011,170200012,1,0,1,0,,,,
HND-015785,2011,170600002,1,0,1,0,,,,
HND-015559,2011,170100046,1,0,1,0,,,,
HND-015686,2011,170200022,1,0,1,1,,,,
HND-015680,2011,170200016,1,0,1,0,,,,
HND-015799,2011,170600017,1,0,1,0,,,,
HND-015567,2011,170100054,1,0,1,1,,,,
HND-015543,2011,170100029,0,0,1,0,,,,
HND-015670,2011,170200005,1,0,1,1,,,,
HND-015681,2011,170200017,1,0,1,0,,,,
HND-015669,2011,170200004,1,0,1,0,,,,
HND-015667,2011,170200002,1,0,1,1,,,,
HND-015674,2011,170200009,0,0,1,0,,,,
HND-015668,2011,170200003,1,0,1,0,,,,
HND-015690,2011,170200251,,0,,0,,,,
HND-015679,2011,170200015,0,0,1,0,,,,
HND-015671,2011,170200006,0,0,1,0,,,,
HND-015666,2011,170200001,1,0,1,0,,,,
