geo_id,year,water,internet,electricity,library,cafeteria
PHL-000000,2015,1,0,1,,
PHL-000000,2016,1,0,1,,
PHL-000000,2017,1,0,1,,
PHL-000001,2015,1,1,1,,
PHL-000001,2016,1,1,1,,
PHL-000001,2017,1,1,1,,
PHL-000002,2015,1,1,1,,
PHL-000002,2016,1,1,1,,
PHL-000003,2015,1,0,1,,
PHL-000003,2016,0,0,1,,
PHL-000003,2017,1,1,1,,
PHL-000004,2015,1,1,1,,
PHL-000004,2016,1,1,1,,
PHL-000004,2017,1,1,1,,
PHL-000005,2015,1,0,1,,
PHL-000005,2016,1,0,1,,
PHL-000005,2017,0,1,1,,
PHL-000006,2015,1,0,1,,
PHL-000006,2016,1,0,1,,
PHL-000007,2015,1,1,1,,
PHL-000007,2016,1,1,1,,
PHL-000007,2017,1,0,1,,
PHL-000008,2015,1,0,1,,
PHL-000008,2016,1,0,1,,
PHL-000008,2017,1,0,1,,
PHL-000009,2015,1,0,1,,
PHL-000009,2016,1,0,1,,
PHL-000009,2017,0,0,1,,
PHL-000010,2015,1,1,1,,
PHL-000010,2016,1,1,1,,
PHL-000010,2017,1,0,1,,
PHL-000011,2015,1,0,1,,
PHL-000011,2016,1,0,1,,
PHL-000011,2017,1,1,1,,
PHL-000012,2015,1,0,1,,
PHL-000012,2016,1,0,1,,
PHL-000012,2017,1,0,1,,
PHL-000013,2015,1,1,1,,
PHL-000013,2016,1,1,1,,
PHL-000013,2017,1,1,1,,
PHL-000014,2015,1,0,1,,
PHL-000014,2016,0,0,1,,
PHL-000014,2017,1,1,1,,
PHL-000015,2015,1,0,1,,
PHL-000015,2016,1,0,1,,
PHL-000015,2017,1,1,1,,
PHL-000016,2015,1,0,1,,
PHL-000016,2016,1,0,1,,
PHL-000016,2017,1,1,1,,
PHL-000017,2015,1,0,1,,
PHL-000017,2016,1,0,1,,
PHL-000017,2017,1,1,1,,
PHL-000018,2015,1,0,1,,
PHL-000018,2016,1,0,1,,
PHL-000018,2017,1,1,1,,
PHL-000019,2015,1,1,1,,
PHL-000019,2016,1,1,1,,
PHL-000019,2017,1,1,1,,
PHL-000020,2015,1,0,1,,
PHL-000020,2016,1,0,1,,
PHL-000020,2017,1,0,1,,
PHL-000021,2015,0,0,1,,
PHL-000021,2016,1,0,1,,
PHL-000021,2017,1,1,1,,
PHL-000022,2015,1,0,1,,
PHL-000022,2016,1,0,1,,
PHL-000022,2017,1,0,1,,
PHL-000023,2015,1,1,1,,
PHL-000023,2016,1,1,1,,
PHL-000023,2017,1,1,1,,
PHL-000024,2015,1,0,1,,
PHL-000024,2016,0,0,1,,
PHL-000024,2017,1,1,1,,
PHL-000025,2015,1,1,1,,
PHL-000025,2016,1,1,1,,
PHL-000025,2017,1,1,1,,
PHL-000026,2015,1,1,1,,
PHL-000026,2016,1,1,1,,
PHL-000026,2017,1,1,1,,
PHL-000027,2015,1,0,1,,
PHL-000027,2016,1,0,1,,
PHL-000027,2017,1,0,1,,
PHL-000028,2015,1,0,1,,
PHL-000028,2016,1,0,1,,
PHL-000029,2015,1,0,1,,
PHL-000029,2016,1,0,1,,
PHL-000029,2017,1,0,1,,
PHL-000030,2015,1,0,1,,
PHL-000030,2016,1,0,1,,
